## Hospital Management System – User Stories

| ID   | User Story                                                                                       | Story Points | Priority | Acceptance Criteria                                       |
| ---- | ------------------------------------------------------------------------------------------------ | ------------ | -------- | --------------------------------------------------------- |
| H-01 | As a patient, I want to register my personal and medical details so a medical record is created. | 3            | High     | Registration saved, confirmation sent                     |
| H-02 | As a receptionist, I want to schedule appointments with doctors.                                 | 5            | High     | Appointment added, doctor/date/time confirmed             |
| H-03 | As a doctor, I want to view my scheduled patients.                                               | 3            | High     | List of today’s patients displayed                        |
| H-04 | As a patient, I want to view my medical history.                                                 | 3            | Medium   | Past visits, prescriptions displayed                      |
| H-05 | As a nurse, I want to manage hospital bed assignments.                                           | 5            | High     | Beds assigned/released, availability updated              |
| H-06 | As an accountant, I want to generate invoices for patients.                                      | 5            | High     | Invoice includes services, medications, payment processed |
| H-07 | As a hospital admin, I want to view reports on patients and revenue.                             | 5            | Medium   | Reports generated with key metrics                        |
| H-08 | As a pharmacist, I want to manage prescriptions and dispense medicine.                           | 5            | High     | Prescription processed, medicine dispensed                |
| H-09 | As a patient, I want to pay invoices online.                                                     | 3            | High     | Payment processed, receipt issued                         |
| H-10 | As a system admin, I want to create staff accounts with roles.                                   | 3            | High     | Accounts created with correct permissions                 |
